,Fitness,Player Life,Enemy Life,Time
0,85.27703951986408,9.400000000000231,0.0,288.0
1,87.09945347071134,39.40000000000028,0.0,935.0
2,86.20481541385271,30.40000000000026,0.0,930.0
3,89.76049965983836,64.60000000000034,0.0,812.0
4,91.34855887687002,71.20000000000027,0.0,321.0
5,86.64012416617349,32.80000000000027,0.0,765.0
6,87.56284613236328,34.60000000000027,0.0,364.0
7,89.21165549623893,47.8000000000003,0.0,262.0
8,84.81282822853991,2.200000000000234,0.0,223.0
9,88.65616819497443,41.20000000000029,0.0,236.0
