,Fitness,Player Life,Enemy Life,Time
0,91.71425332628682,69.40000000000029,0.0,186.0
1,94.09971843439497,89.2000000000001,0.0,124.0
2,92.7627201631851,77.80000000000021,0.0,151.0
3,92.53870783429059,79.0000000000002,0.0,213.0
4,91.83679627126205,71.20000000000027,0.0,197.0
5,91.71679627126204,70.00000000000028,0.0,197.0
6,93.76734511426396,86.80000000000013,0.0,136.0
7,92.33611947915375,73.60000000000025,0.0,152.0
8,92.17402398497816,75.40000000000023,0.0,214.0
9,91.761682633452,70.60000000000028,0.0,200.0
