,gen,nevals,mean,max
0,0,150,7.5508690755090555,91.77237888630937
1,1,150,22.950719064175935,91.77237888630937
2,2,150,28.21472005657845,91.77237888630937
3,3,150,37.13119738820236,91.77237888630937
4,4,150,47.872426272503,91.77237888630937
5,5,150,53.65841464293862,91.77237888630937
6,6,150,63.739621202063304,91.77237888630937
7,7,150,76.08542156288344,92.37237888630936
8,8,150,80.79250376533317,93.12700044143625
9,9,150,81.9908267140476,93.12700044143625
10,10,150,82.58589203220176,93.12700044143625
11,11,150,81.48094159741088,93.12700044143625
12,12,150,82.57478674341628,93.12700044143625
13,13,150,85.42132857906894,93.12700044143625
14,14,150,84.78895566279313,92.58272016318507
15,15,150,84.84226630991809,92.58272016318507
16,16,150,85.0365427296568,92.58272016318507
17,17,150,84.82207136362888,92.58272016318507
18,18,150,85.10016853010715,92.58272016318507
19,19,150,82.76508412873572,92.58272016318507
20,20,150,85.63835280915943,93.72700044143625
21,21,150,84.31351173522133,92.58272016318507
22,22,150,84.83147440194513,92.58272016318507
23,23,150,85.36751789336073,92.58272016318507
24,24,150,81.92230001119607,92.58272016318507
25,25,150,85.08479439396321,92.58272016318507
26,26,150,87.1568372157837,92.73193985886488
27,27,150,86.32649367653532,92.58272016318507
28,28,150,86.77998884470304,92.58272016318507
29,29,150,85.10130293740168,93.52700044143626
30,30,150,85.87900566562946,93.52700044143626
31,31,150,87.33852624632205,93.52700044143626
32,32,150,86.15410251678429,93.52700044143626
33,33,150,85.65455546688017,92.58272016318507
34,34,150,87.90818242936723,92.58272016318507
35,35,150,89.36173279359065,92.58272016318507
36,36,150,87.85563546051829,92.58272016318507
37,37,150,89.33449697124306,92.58272016318507
38,38,150,90.54708637187068,92.58272016318507
39,39,150,88.5452535284972,92.58272016318507
40,40,150,91.20613997590172,92.58272016318507
41,41,150,91.17252693730245,92.58272016318507
42,42,150,91.58828511308774,92.58272016318507
43,43,150,92.05601762137918,92.58272016318507
44,44,150,92.1067064199386,92.58272016318507
45,45,150,92.2256881581346,92.58272016318507
46,46,150,92.54782304387979,92.58272016318507
47,47,150,91.76768274724306,92.58272016318507
48,48,150,91.21487434935351,92.58272016318507
49,49,150,91.94207749018683,92.58272016318507
50,50,150,92.08522727519669,92.58272016318507
51,51,150,91.25529292069936,92.58272016318507
52,52,150,91.9260897240465,92.58272016318507
53,53,150,92.58194824347285,92.58272016318507
54,54,150,92.3000392133707,92.58272016318507
55,55,150,91.27100312433242,92.58272016318507
56,56,150,92.58194824347285,92.58272016318507
57,57,150,92.58136632326332,92.58272016318507
58,58,150,92.2555232067075,92.58272016318507
59,59,150,92.01303825761345,92.58272016318507
60,60,150,92.48304561400256,92.58272016318507
61,61,150,92.54910738191475,92.58272016318507
62,62,150,92.34869817203753,92.58272016318507
