,gen,nevals,mean,max
0,0,150,-2.189319461957296,39.570654371045556
1,1,150,0.8623664471275765,39.570654371045556
2,2,150,4.103196690750618,30.466610511272478
3,3,150,7.669062807037255,39.59732261812772
4,4,150,8.566505281767537,30.466610511272478
5,5,150,11.617921659441599,39.652892469282534
6,6,150,13.196697266138797,39.652892469282534
7,7,150,14.584261097162486,39.652892469282534
8,8,150,15.066505475440795,39.785064242391016
9,9,150,15.430916817695197,48.424050896853686
10,10,150,15.290088053459167,57.26342770252081
11,11,150,16.95920642070852,57.26342770252081
12,12,150,17.67401952903795,57.26342770252081
13,13,150,16.718036846027925,57.26342770252081
14,14,150,18.833537148417314,57.26342770252081
15,15,150,20.095196180064985,57.26342770252081
16,16,150,21.62127898590733,57.615504937210915
17,17,150,21.625758133681412,57.26342770252081
18,18,150,24.508350974202955,57.26342770252081
19,19,150,25.591712862307826,57.26342770252081
20,20,150,26.365077347820822,57.26342770252081
21,21,150,25.996812017338723,57.26342770252081
22,22,150,25.583417577912176,57.26342770252081
23,23,150,29.03631766622931,66.48657125383502
24,24,150,29.919548295683015,57.26342770252081
25,25,150,28.786455256322814,57.269900217026425
26,26,150,30.47484828046621,66.12226421822037
27,27,150,33.05890406248113,66.12226421822037
28,28,150,33.85775542852225,66.12226421822037
29,29,150,32.543249461354996,66.12226421822037
30,30,150,31.603268468374154,66.12226421822037
31,31,150,32.91029536723067,66.12226421822037
32,32,150,33.503116303567644,66.12226421822037
33,33,150,34.835573641000465,84.79703951986407
34,34,150,34.33881449965412,66.12226421822037
35,35,150,35.83585376105697,57.26342770252081
36,36,150,37.58606448287237,66.14492807779757
37,37,150,37.53462717310347,66.14492807779757
38,38,150,38.016438694105894,66.14206684551654
39,39,150,40.239393218094015,66.14206684551654
40,40,150,41.603026077597534,66.14206684551654
41,41,150,41.62465816543131,66.14206684551654
42,42,150,38.710267635393635,66.14779752022552
43,43,150,37.27329093536213,66.14206684551654
44,44,150,37.05114509186115,66.14206684551654
45,45,150,36.49563651633029,66.14206684551654
46,46,150,35.04470053847271,66.14206684551654
47,47,150,35.76337538589214,66.14206684551654
48,48,150,35.21734614356425,66.25699681219052
49,49,150,37.12558551677465,66.14492807779757
50,50,150,39.384747114330295,66.14492807779757
51,51,150,40.47573897493844,66.14492807779757
52,52,150,42.19219637191071,66.14492807779757
53,53,150,49.857102073257046,66.14779752022552
