,gen,nevals,mean,max
0,0,150,0.4296734885670039,56.77346333071253
1,1,150,5.125739538100129,65.77346333071253
2,2,150,9.936365990948303,87.19342407327508
3,3,150,13.58745967689775,87.19342407327508
4,4,150,14.03328344333372,87.19342407327508
5,5,150,22.240859589964753,87.19342407327508
6,6,150,27.584905716621257,87.19342407327508
7,7,150,29.991546706190075,87.19342407327508
8,8,150,31.12865439120885,87.19342407327508
9,9,150,32.507582538797145,87.19342407327508
10,10,150,34.37279801118305,84.21173587691742
11,11,150,36.06561890219109,84.21173587691742
12,12,150,39.811020298014185,84.21173587691742
13,13,150,39.8835841833662,84.21173587691742
14,14,150,41.95056394057824,87.01173587691741
15,15,150,41.40992296401587,65.88631782016776
16,16,150,44.71241089924772,65.88631782016776
17,17,150,45.30172610069487,74.74041853593508
18,18,150,47.47901508031906,74.77346333071253
19,19,150,47.06996351811325,85.25367074233111
20,20,150,50.55357669810049,87.01173587691741
21,21,150,52.105881350893654,87.01173587691741
22,22,150,53.2613073541837,87.59140997390337
23,23,150,53.106297656897645,87.01173587691741
24,24,150,52.87635436055017,87.21585110906253
25,25,150,54.8802037395748,87.21585110906253
26,26,150,51.74101469984434,87.01173587691741
27,27,150,56.10236699546205,87.01173587691741
28,28,150,58.34450420266648,87.01173587691741
29,29,150,58.33602677298642,87.01173587691741
30,30,150,62.17142656003123,87.01173587691741
31,31,150,61.457046244417384,87.64090461150806
32,32,150,61.19305495654972,87.64090461150806
33,33,150,59.75531541370547,87.64090461150806
34,34,150,63.57294316176688,87.01173587691741
35,35,150,61.26391153908595,88.4117358769174
36,36,150,59.36233868044789,88.4117358769174
37,37,150,59.12479510769469,88.4117358769174
38,38,150,61.48345056139231,88.4117358769174
39,39,150,64.00892316663085,88.4117358769174
40,40,150,64.91923737343937,88.4117358769174
41,41,150,65.84631161923394,88.4117358769174
42,42,150,66.4642627532879,88.4117358769174
43,43,150,67.95876007041271,88.4117358769174
44,44,150,70.5097715585827,88.4117358769174
45,45,150,71.8848316109957,88.4117358769174
46,46,150,72.74582553197828,87.81173587691741
47,47,150,72.67652968035831,87.81173587691741
48,48,150,77.09280386568763,87.81173587691741
