,gen,nevals,mean,max
0,0,150,-0.828147816215694,65.99364684039827
1,1,150,4.7821143051357895,87.19140997390338
2,2,150,7.787558050473763,56.77346333071253
3,3,150,16.69778889940367,74.77742373192864
4,4,150,24.623045912444212,84.43879267830492
5,5,150,28.94964582006889,74.77742373192864
6,6,150,33.84663291282993,74.77742373192864
7,7,150,35.84590590981068,87.19140997390338
8,8,150,40.437689053995626,87.19140997390338
9,9,150,45.620735367848404,87.01173587691741
10,10,150,48.048072910507784,87.01173587691741
11,11,150,46.91242793589716,85.83879267830493
12,12,150,53.97290519250273,87.01173587691741
13,13,150,58.665599662033834,87.01173587691741
14,14,150,60.15871152034061,87.01173587691741
15,15,150,62.20967018048493,86.64090461150806
16,16,150,63.122848098607356,86.64090461150806
17,17,150,65.70384732594758,86.64090461150806
18,18,150,67.13594899050135,87.69744140538643
19,19,150,65.58612709492833,87.69744140538643
20,20,150,67.05937662761313,87.19342407327508
21,21,150,72.07288215185247,87.19342407327508
22,22,150,71.35443958516483,87.01173587691741
23,23,150,70.94300537318914,87.03879267830493
24,24,150,74.16236642724033,87.19342407327508
25,25,150,70.00256542498295,87.21379137609951
26,26,150,72.91824795018077,87.21379137609951
27,27,150,74.27609421253464,87.21379137609951
28,28,150,74.78899621704457,87.21379137609951
29,29,150,77.21160314165375,87.21379137609951
30,30,150,74.84812866167478,87.21379137609951
31,31,150,77.83508728649424,87.21379137609951
32,32,150,80.9336887017258,87.21379137609951
33,33,150,79.2850799603967,87.21379137609951
34,34,150,80.89001996684306,87.21379137609951
35,35,150,83.1495747039358,87.21379137609951
36,36,150,83.13619451520658,87.21379137609951
37,37,150,82.53530362314834,87.21379137609951
38,38,150,84.22941368332808,87.21379137609951
39,39,150,84.00409015175734,87.21379137609951
40,40,150,84.26250927371534,87.21379137609951
41,41,150,84.61924670250428,88.89463815194543
42,42,150,86.0182969722363,88.89463815194543
43,43,150,86.5463736974976,88.89463815194543
44,44,150,85.46542406584629,88.89463815194543
45,45,150,85.65570076830947,88.89463815194543
46,46,150,84.80733128381095,88.9335319430667
47,47,150,85.93919075852209,88.89463815194543
48,48,150,86.23226047233457,88.89463815194543
49,49,150,85.65912304674016,88.89463815194543
50,50,150,82.79541456011677,88.89463815194543
51,51,150,83.92131981051662,88.89463815194543
52,52,150,84.99850211373732,88.89463815194543
53,53,150,85.8766981184625,88.89463815194543
54,54,150,84.3845801917612,88.89463815194543
55,55,150,83.93714299794789,88.89463815194543
56,56,150,82.3931246301912,89.49191706183107
57,57,150,85.11632618506427,89.16811752271649
58,58,150,85.78984304588425,90.16811752271649
59,59,150,86.13274524493082,89.76811752271648
60,60,150,84.41199194041796,89.76811752271648
61,61,150,86.31084812160965,89.36811752271649
62,62,150,85.2253813259538,89.76811752271648
63,63,150,86.72635897516993,89.76811752271648
64,64,150,86.43622499733344,90.85060701409174
65,65,150,86.99482476629127,89.49463815194544
66,66,150,85.96989359073821,89.76811752271648
67,67,150,86.83564105189184,90.05060701409174
68,68,150,86.25435522415752,90.85060701409174
69,69,150,87.41178793902178,89.96811752271648
70,70,150,88.49895062955433,90.45060701409174
71,71,150,88.67965955673435,90.85060701409174
72,72,150,88.65315247079141,90.85060701409174
73,73,150,88.50534945759267,90.85060701409174
74,74,150,89.26024987388624,90.85060701409174
75,75,150,89.17009287704093,90.85060701409174
76,76,150,89.26164171393434,90.85060701409174
77,77,150,89.24936768630732,90.85060701409174
78,78,150,89.0463327798094,90.85060701409174
79,79,150,88.15962256777111,91.05060701409174
80,80,150,87.625122469102,91.05060701409174
81,81,150,88.8897319103709,91.05060701409174
82,82,150,90.257573315471,91.05060701409174
83,83,150,90.75326299767465,91.05060701409174
84,84,150,89.54337074385056,91.05060701409174
85,85,150,89.71781876596923,91.05060701409174
86,86,150,89.47296893020604,91.05060701409174
87,87,150,89.25143874170239,91.05060701409174
88,88,150,89.56575597269577,91.05060701409174
89,89,150,90.80220757455174,91.05060701409174
90,90,150,90.65824355397125,91.05060701409174
91,91,150,89.79196597654361,91.05060701409174
92,92,150,89.98328701559467,91.05060701409174
93,93,150,90.30890926900582,91.05060701409174
94,94,150,89.84976921647377,91.05060701409174
95,95,150,90.85750715420676,91.05060701409174
96,96,150,89.67950285098178,91.05060701409174
97,97,150,87.49750149743008,91.05060701409174
98,98,150,89.61263853282284,91.05060701409174
99,99,150,90.21476195832732,91.05060701409174
100,100,150,86.77000265864294,91.05060701409174
0,0,150,2.0274656503741233,74.87094978993946
1,1,150,4.301216555817141,65.77346333071253
2,2,150,13.961703188278234,65.77346333071253
3,3,150,21.006594614639894,74.77346333071253
4,4,150,30.02451193104394,74.78339389891514
5,5,150,34.932197645438514,74.77346333071253
6,6,150,39.72449404323199,74.77346333071253
7,7,150,43.48623966172328,74.77346333071253
8,8,150,42.981769307886346,84.19140997390338
9,9,150,44.93821112802629,87.0137913760995
10,10,150,48.90215669090414,87.0137913760995
11,11,150,54.26074934149343,87.0137913760995
12,12,150,55.767988970460074,87.0137913760995
13,13,150,56.34133949140529,87.0137913760995
14,14,150,58.89550085798745,87.01173587691741
15,15,150,60.939093740222745,87.01173587691741
16,16,150,64.3651076970447,87.01173587691741
17,17,150,64.63883879895035,87.19140997390338
18,18,150,61.9143152720686,87.03879267830493
19,19,150,58.85141600749208,87.03879267830493
20,20,150,62.48488845629688,87.61173587691741
21,21,150,61.10946759077126,88.4117358769174
22,22,150,62.885350483627235,87.61173587691741
23,23,150,59.067117602168196,87.61173587691741
24,24,150,62.04844617688305,87.19140997390338
25,25,150,65.71014910430878,87.19140997390338
26,26,150,65.97565415610103,87.03879267830493
27,27,150,64.53546034470467,87.03879267830493
28,28,150,67.3573597978768,87.03879267830493
29,29,150,70.21999335180867,87.43879267830492
30,30,150,67.92221840794714,87.43879267830492
31,31,150,66.29626829877563,89.59342407327507
32,32,150,70.06003864807158,89.59342407327507
33,33,150,74.87576499084437,89.59342407327507
34,34,150,76.84040590688237,90.0137913760995
35,35,150,72.64450595047282,90.0137913760995
36,36,150,71.99188839363904,89.59342407327507
37,37,150,76.58556385536025,89.59342407327507
38,38,150,74.8940431015849,89.59342407327507
39,39,150,76.57494096126071,89.59342407327507
40,40,150,77.94833323406017,89.59342407327507
41,41,150,78.0090301885005,89.59342407327507
42,42,150,77.83199897053771,89.59342407327507
43,43,150,75.73202336848733,89.59342407327507
44,44,150,79.42658610850287,89.59342407327507
45,45,150,78.76478014439907,89.59342407327507
46,46,150,78.12765806756212,88.59140997390337
47,47,150,82.11919263888444,88.59140997390337
48,48,150,81.32587388719197,88.59140997390337
49,49,150,80.9068717017496,88.59140997390337
50,50,150,80.73911510603192,88.59140997390337
51,51,150,81.45656217473636,88.21173587691742
52,52,150,82.00083582798305,88.4117358769174
53,53,150,84.26758105424189,88.4117358769174
54,54,150,82.93370437019996,88.21173587691742
55,55,150,82.40491779293028,88.21173587691742
56,56,150,81.92531178684025,88.21173587691742
57,57,150,79.36230041359482,88.21173587691742
58,58,150,83.04045639128694,87.81173587691741
59,59,150,82.85725749788236,87.81173587691741
60,60,150,84.31898254920613,87.81173587691741
61,61,150,80.33601297286253,87.81173587691741
62,62,150,83.8049098352445,87.81173587691741
63,63,150,82.22319174231079,88.4117358769174
64,64,150,84.42393798960407,88.4117358769174
65,65,150,84.4056712160415,87.99342407327508
66,66,150,82.49099680130635,88.01173587691741
67,67,150,84.95730001568016,89.44090461150806
68,68,150,84.13936551955125,89.04090461150807
69,69,150,83.78990517521197,89.04090461150807
70,70,150,83.8329900738022,89.59342407327507
71,71,150,83.11196500545724,89.59342407327507
72,72,150,82.90961994630774,89.59342407327507
73,73,150,85.11246472255527,89.59342407327507
74,74,150,85.24308830809156,89.4137913760995
75,75,150,86.11230927101111,89.59342407327507
76,76,150,87.16882070281548,89.59342407327507
77,77,150,85.86351148097206,89.59342407327507
78,78,150,84.39255792399165,89.6137913760995
79,79,150,84.95833874315531,89.6137913760995
80,80,150,86.17702720091256,89.6137913760995
81,81,150,84.46264892752589,89.6137913760995
82,82,150,81.11124083813566,89.6137913760995
83,83,150,80.72623849943106,89.6137913760995
84,84,150,84.66656119012164,89.6137913760995
85,85,150,86.72582851070835,89.6137913760995
86,86,150,87.71681487821353,89.6137913760995
87,87,150,87.91508239244872,89.6137913760995
88,88,150,86.56400053930003,89.6137913760995
89,89,150,86.76151971788633,89.6137913760995
90,90,150,85.57113981465511,89.6137913760995
91,91,150,87.33920752994437,89.6137913760995
92,92,150,87.69466633386372,89.6137913760995
93,93,150,87.10482823994687,89.6137913760995
94,94,150,88.21452933020672,89.6137913760995
95,95,150,86.31696410582626,89.99342407327508
96,96,150,87.06575443475127,89.99342407327508
97,97,150,85.77927656641147,89.99342407327508
98,98,150,88.7406122994546,89.99342407327508
99,99,150,88.1986246366446,89.99342407327508
100,100,150,88.50383280206054,89.99342407327508
0,0,150,1.304820028640572,65.77148899640882
1,1,150,5.684306341722765,56.884107874516964
2,2,150,10.842054423545639,85.21379137609951
3,3,150,16.696637007799755,85.21379137609951
4,4,150,23.705288344471622,85.21379137609951
5,5,150,30.366013083366905,85.21379137609951
6,6,150,36.552282411220325,85.21379137609951
7,7,150,41.21830377378743,85.21379137609951
