,gen,nevals,mean,max
0,0,150,-1.775799610374913,47.555868743299555
1,1,150,0.8297866546832465,47.555868743299555
2,2,150,2.4010644797971916,47.555868743299555
3,3,150,4.490243910489655,47.157316717761574
4,4,150,7.429557444410019,39.87603602059674
5,5,150,11.302304468183515,39.87603602059674
6,6,150,13.721191571741828,66.23480889721516
7,7,150,14.29252854354143,66.23480889721516
8,8,150,14.73571775101741,39.544678884642295
9,9,150,16.279389414397144,57.20394224923463
10,10,150,17.377554584291307,57.20394224923463
11,11,150,18.74684906513407,57.269900217026425
12,12,150,20.548262098671596,57.269900217026425
13,13,150,22.088331097707407,57.269900217026425
14,14,150,23.017606373216243,57.269900217026425
15,15,150,23.529817664560014,57.269900217026425
16,16,150,24.361240764758058,57.269900217026425
17,17,150,24.06759140340915,57.269900217026425
18,18,150,26.12258492125274,57.269900217026425
19,19,150,25.83463966682429,57.269900217026425
20,20,150,26.935231807308313,57.269900217026425
21,21,150,24.690748188411686,57.20394224923463
22,22,150,23.21898046577578,57.20394224923463
23,23,150,25.09659821706615,57.20394224923463
24,24,150,26.410447561143677,66.12226421822037
25,25,150,23.579431644338673,57.20394224923463
26,26,150,25.224785967396887,57.20394224923463
27,27,150,25.299738486155977,57.20394224923463
28,28,150,26.739037518975106,57.20394224923463
29,29,150,28.64804882732738,57.41275134159975
30,30,150,31.146717048511643,57.41275134159975
31,31,150,29.523521789558576,57.41275134159975
32,32,150,29.20428095569212,57.41275134159975
33,33,150,29.47004948668876,57.41275134159975
34,34,150,31.108926657734866,57.41275134159975
35,35,150,30.705967043031283,66.09736666659863
36,36,150,30.85348208284029,66.09736666659863
37,37,150,30.431864938685017,66.09736666659863
38,38,150,28.65788821811317,66.09736666659863
39,39,150,30.312450046279896,66.09736666659863
40,40,150,34.03070496667828,66.09736666659863
41,41,150,33.86518038898056,74.90417543756777
42,42,150,35.241343665569595,74.90417543756777
43,43,150,37.87330157703889,74.90417543756777
44,44,150,36.16681542807173,66.12506926914797
45,45,150,33.604631065765155,66.12506926914797
46,46,150,32.159135887497605,66.12506926914797
47,47,150,32.265942349109686,66.12506926914797
48,48,150,32.72195478460503,66.12506926914797
49,49,150,35.02672182065184,66.12506926914797
50,50,150,36.18449655142175,66.12506926914797
51,51,150,37.94509414434361,66.12506926914797
52,52,150,39.17540219726889,66.12506926914797
53,53,150,38.96872053825938,66.12506926914797
54,54,150,35.704519605158964,66.13070308686622
55,55,150,34.99055176530042,66.12506926914797
56,56,150,37.541244656591545,66.19185751001956
57,57,150,35.811841664456914,66.1593583426266
58,58,150,36.694739199705666,66.1593583426266
59,59,150,38.70158434613299,64.97802357692784
60,60,150,38.295416060877145,57.394197933704
61,61,150,40.20834224125121,57.394197933704
62,62,150,37.90342793456311,57.394197933704
63,63,150,38.9687337629806,57.394197933704
64,64,150,38.65024421715504,57.394197933704
65,65,150,41.360349723820896,66.25060701409174
66,66,150,41.8783372283256,66.25060701409174
67,67,150,42.409344647462376,66.25060701409174
68,68,150,43.42141835919258,66.25060701409174
69,69,150,41.46989650656058,66.25060701409174
70,70,150,39.74846133615321,66.25060701409174
71,71,150,42.6181356069031,66.25060701409174
72,72,150,43.514821786979724,66.25060701409174
73,73,150,43.68687693531888,66.25060701409174
74,74,150,40.789453960312805,66.25060701409174
75,75,150,41.733646513454694,66.25060701409174
76,76,150,44.93235569291148,66.25060701409174
77,77,150,45.470062437643314,66.33703951986405
78,78,150,49.192064936080996,66.33703951986405
79,79,150,50.3317422405341,66.33703951986405
80,80,150,47.07471315886997,75.32324619773172
81,81,150,50.87948588869054,75.32324619773172
82,82,150,54.903114453554046,66.33703951986405
83,83,150,55.203810506409255,66.33703951986405
84,84,150,54.73144145250085,66.33703951986405
85,85,150,54.637511014070235,66.33703951986405
86,86,150,55.570832207477515,66.33703951986405
87,87,150,56.164812701983,66.33703951986405
88,88,150,56.154904160031606,66.33703951986405
89,89,150,58.420802661787796,66.33703951986405
90,90,150,60.435061438602375,66.33703951986405
91,91,150,61.38726037267513,66.33703951986405
92,92,150,61.7550046273082,85.27703951986408
93,93,150,63.93432336746197,66.33703951986405
94,94,150,64.88267725530345,66.33703951986405
95,95,150,65.77486913866558,66.33703951986405
