,gen,nevals,mean,max
0,0,100,4.454474773829291,66.27968822339258
1,1,100,9.736735268268456,66.63402398497814
2,2,100,23.81723170075695,66.63402398497814
3,3,100,36.38967773172295,66.63402398497814
4,4,100,50.83545531072625,75.62472159231584
5,5,100,54.63737960612414,75.62472159231584
6,6,100,56.10156265886615,75.01103858311014
7,7,100,60.69915099858112,75.51520306650934
8,8,100,61.60630840546183,88.04234767677737
9,9,100,65.6579611608284,88.04234767677737
10,10,100,64.3935040716544,89.16873816020957
11,11,100,65.41861363079956,89.16873816020957
12,12,100,67.24407306935429,88.04234767677737
13,13,100,66.80211580634524,88.04234767677737
14,14,100,71.58469931094814,88.04234767677737
15,15,100,71.03747443695127,88.04234767677737
16,16,100,73.3154410386895,86.90353644806851
17,17,100,71.04688677068046,86.90353644806851
18,18,100,70.17127420315155,86.90353644806851
19,19,100,73.766550086586,86.90353644806851
20,20,100,74.87359963351794,91.87109579777979
21,21,100,73.44643754189046,91.87109579777979
22,22,100,73.95289484810873,91.87109579777979
23,23,100,74.15014921858852,91.87109579777979
24,24,100,74.7389251955625,91.87109579777979
25,25,100,73.1242291972629,91.87109579777979
26,26,100,73.75470908788584,91.87109579777979
27,27,100,73.63261888795796,91.87109579777979
28,28,100,69.05650143098613,91.87109579777979
29,29,100,72.57529470931621,91.87109579777979
30,30,100,70.74086225213294,91.87109579777979
31,31,100,73.17368882349719,91.87109579777979
32,32,100,73.00824768784526,91.87109579777979
33,33,100,73.46006859040625,91.87109579777979
34,34,100,73.0196358966668,91.87109579777979
35,35,100,75.24255990643819,91.87109579777979
36,36,100,76.4789047301845,91.87109579777979
37,37,100,74.54806066298421,87.36667673282852
38,38,100,74.74284784771714,87.36667673282852
39,39,100,74.6565215217085,87.9866105112725
40,40,100,76.0579534856191,91.16341372532803
41,41,100,76.53509007023399,91.16341372532803
42,42,100,73.91424261088915,90.56626719449066
43,43,100,74.08925324198717,90.56626719449066
44,44,100,76.69282474305784,90.56626719449066
45,45,100,74.81084108818555,89.53936107665805
46,46,100,75.09744465352858,90.68389959779562
47,47,100,78.19850071490012,91.41289246928257
48,48,100,79.67382950231621,91.47289246928257
49,49,100,77.85657753464281,91.47289246928257
50,50,100,83.02653349326798,91.47289246928257
51,51,100,82.89850462338623,91.28814186652396
52,52,100,83.44611056775284,91.47289246928257
53,53,100,83.87659075120361,91.47289246928257
54,54,100,83.6449012189066,91.47289246928257
